subject_id	source_language	translation_language	source_value	predicate_id	translation_value	translation_status
HP:0003165	en	en	Elevated circulating parathyroid hormone level	rdfs:label	Elevated circulating parathyroid hormone level	OFFICIAL
HP:0100530	en	en	Abnormal circulating calcium-phosphate regulating hormone concentration	rdfs:label	Abnormal circulating calcium-phosphate regulating hormone concentration	OFFICIAL
HP:0003166	en	en	Increased urinary taurine	rdfs:label	Increased urinary taurine	OFFICIAL
HP:0033097	en	en	Increased urine proteinogenic amino acid derivative level	rdfs:label	Increased urine proteinogenic amino acid derivative level	OFFICIAL
HP:0003167	en	en	Carnosinuria	rdfs:label	Carnosinuria	OFFICIAL
HP:0003168	en	en	Dibasicaminoaciduria	rdfs:label	Dibasicaminoaciduria	OFFICIAL
HP:0003170	en	en	Abnormal acetabulum morphology	rdfs:label	Abnormal acetabulum morphology	OFFICIAL
HP:0003172	en	en	Abnormal pubic bone morphology	rdfs:label	Abnormal pubic bone morphology	OFFICIAL
HP:0003173	en	en	Hypoplastic pubic bone	rdfs:label	Hypoplastic pubic bone	OFFICIAL
HP:0009104	en	en	Aplasia/Hypoplasia of the pubic bone	rdfs:label	Aplasia/Hypoplasia of the pubic bone	OFFICIAL
HP:0003174	en	en	Abnormal ischium morphology	rdfs:label	Abnormal ischium morphology	OFFICIAL
HP:0003175	en	en	Hypoplastic ischia	rdfs:label	Hypoplastic ischia	OFFICIAL
HP:0003177	en	en	Squared iliac bones	rdfs:label	Squared iliac bones	OFFICIAL
HP:0003179	en	en	Protrusio acetabuli	rdfs:label	Protrusio acetabuli	OFFICIAL
HP:0003180	en	en	Flat acetabular roof	rdfs:label	Flat acetabular roof	OFFICIAL
HP:0003182	en	en	Shallow acetabular fossae	rdfs:label	Shallow acetabular fossae	OFFICIAL
HP:0003183	en	en	Wide pubic symphysis	rdfs:label	Wide pubic symphysis	OFFICIAL
HP:0003184	en	en	Decreased hip abduction	rdfs:label	Decreased hip abduction	OFFICIAL
HP:0003185	en	en	Short greater sciatic notch	rdfs:label	Short greater sciatic notch	OFFICIAL
HP:0010456	en	en	Abnormal greater sciatic notch morphology	rdfs:label	Abnormal greater sciatic notch morphology	OFFICIAL
HP:0003186	en	en	Inverted nipples	rdfs:label	Inverted nipples	OFFICIAL
HP:0003187	en	en	Breast hypoplasia	rdfs:label	Breast hypoplasia	OFFICIAL
HP:0010311	en	en	Aplasia/Hypoplasia of the breasts	rdfs:label	Aplasia/Hypoplasia of the breasts	OFFICIAL
HP:0003189	en	en	Long nose	rdfs:label	Long nose	OFFICIAL
HP:0003191	en	en	Cleft ala nasi	rdfs:label	Cleft ala nasi	OFFICIAL
HP:0003193	en	en	Allergic rhinitis	rdfs:label	Allergic rhinitis	OFFICIAL
HP:0012393	en	en	Allergy	rdfs:label	Allergy	OFFICIAL
HP:0003194	en	en	Short nasal bridge	rdfs:label	Short nasal bridge	OFFICIAL
HP:0003196	en	en	Short nose	rdfs:label	Short nose	OFFICIAL
HP:0003198	en	en	Myopathy	rdfs:label	Myopathy	OFFICIAL
HP:0003199	en	en	Decreased muscle mass	rdfs:label	Decreased muscle mass	OFFICIAL
HP:0003200	en	en	Ragged-red muscle fibers	rdfs:label	Ragged-red muscle fibers	OFFICIAL
HP:0004303	en	en	Abnormal muscle fiber morphology	rdfs:label	Abnormal muscle fiber morphology	OFFICIAL
HP:0003201	en	en	Rhabdomyolysis	rdfs:label	Rhabdomyolysis	OFFICIAL
HP:0003202	en	en	Skeletal muscle atrophy	rdfs:label	Skeletal muscle atrophy	OFFICIAL
HP:0003203	en	en	Impaired oxidative burst	rdfs:label	Impaired oxidative burst	OFFICIAL
HP:0011993	en	en	Impaired neutrophil bactericidal activity	rdfs:label	Impaired neutrophil bactericidal activity	OFFICIAL
HP:0003204	en	en	Intracellular accumulation of autofluorescent lipopigment storage material	rdfs:label	Intracellular accumulation of autofluorescent lipopigment storage material	OFFICIAL
HP:0003205	en	en	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	rdfs:label	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	OFFICIAL
HP:0003206	en	en	Decreased activity of NADPH oxidase	rdfs:label	Decreased activity of NADPH oxidase	OFFICIAL
HP:0004358	en	en	Abnormality of superoxide metabolism	rdfs:label	Abnormality of superoxide metabolism	OFFICIAL
HP:0004934	en	en	Vascular calcification	rdfs:label	Vascular calcification	OFFICIAL
HP:0003208	en	en	Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	rdfs:label	Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	OFFICIAL
HP:0003209	en	en	Decreased pyruvate carboxylase activity	rdfs:label	Decreased pyruvate carboxylase activity	OFFICIAL
HP:0003210	en	en	Decreased methylmalonyl-CoA mutase activity	rdfs:label	Decreased methylmalonyl-CoA mutase activity	OFFICIAL
HP:0003212	en	en	Increased circulating IgE level	rdfs:label	Increased circulating IgE level	OFFICIAL
HP:0010702	en	en	Increased circulating antibody level	rdfs:label	Increased circulating antibody level	OFFICIAL
HP:0410241	en	en	Abnormal circulating IgE level	rdfs:label	Abnormal circulating IgE level	OFFICIAL
HP:0003213	en	en	Deficient excision of UV-induced pyrimidine dimers in DNA	rdfs:label	Deficient excision of UV-induced pyrimidine dimers in DNA	OFFICIAL
HP:0003214	en	en	Prolonged G2 phase of cell cycle	rdfs:label	Prolonged G2 phase of cell cycle	OFFICIAL
HP:0011018	en	en	Abnormality of the cell cycle	rdfs:label	Abnormality of the cell cycle	OFFICIAL
HP:0003216	en	en	Generalized amyloid deposition	rdfs:label	Generalized amyloid deposition	OFFICIAL
HP:0003217	en	en	Hyperglutaminemia	rdfs:label	Hyperglutaminemia	OFFICIAL
HP:0010903	en	en	Abnormal circulating glutamine concentration	rdfs:label	Abnormal circulating glutamine concentration	OFFICIAL
HP:0003218	en	en	Oroticaciduria	rdfs:label	Oroticaciduria	OFFICIAL
HP:0031980	en	en	Abnormal urine carboxylic acid level	rdfs:label	Abnormal urine carboxylic acid level	OFFICIAL
HP:0003219	en	en	Ethylmalonic aciduria	rdfs:label	Ethylmalonic aciduria	OFFICIAL
HP:0003220	en	en	Abnormality of chromosome stability	rdfs:label	Abnormality of chromosome stability	OFFICIAL
HP:0003221	en	en	Chromosomal breakage induced by crosslinking agents	rdfs:label	Chromosomal breakage induced by crosslinking agents	OFFICIAL
HP:0040012	en	en	Chromosome breakage	rdfs:label	Chromosome breakage	OFFICIAL
HP:0003223	en	en	Decreased methylcobalamin	rdfs:label	Decreased methylcobalamin	OFFICIAL
HP:0003224	en	en	Increased cellular sensitivity to UV light	rdfs:label	Increased cellular sensitivity to UV light	OFFICIAL
HP:0003225	en	en	Reduced coagulation factor V activity	rdfs:label	Reduced coagulation factor V activity	OFFICIAL
HP:0031899	en	en	Abnormal coagulation factor V activity	rdfs:label	Abnormal coagulation factor V activity	OFFICIAL
HP:0003226	en	en	Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	rdfs:label	Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	OFFICIAL
HP:0003228	en	en	Hypernatremia	rdfs:label	Hypernatremia	OFFICIAL
HP:0003231	en	en	Hypertyrosinemia	rdfs:label	Hypertyrosinemia	OFFICIAL
HP:0010917	en	en	Abnormal circulating tyrosine concentration	rdfs:label	Abnormal circulating tyrosine concentration	OFFICIAL
HP:0003232	en	en	Mitochondrial malic enzyme reduced	rdfs:label	Mitochondrial malic enzyme reduced	OFFICIAL
HP:0003233	en	en	Decreased HDL cholesterol concentration	rdfs:label	Decreased HDL cholesterol concentration	OFFICIAL
HP:0010981	en	en	Hypolipoproteinemia	rdfs:label	Hypolipoproteinemia	OFFICIAL
HP:0031888	en	en	Abnormal HDL cholesterol concentration	rdfs:label	Abnormal HDL cholesterol concentration	OFFICIAL
HP:0003234	en	en	Decreased circulating carnitine concentration	rdfs:label	Decreased circulating carnitine concentration	OFFICIAL
HP:0010967	en	en	Abnormal circulating carnitine concentration	rdfs:label	Abnormal circulating carnitine concentration	OFFICIAL
HP:0003235	en	en	Hypermethioninemia	rdfs:label	Hypermethioninemia	OFFICIAL
HP:0010901	en	en	Abnormal circulating methionine concentration	rdfs:label	Abnormal circulating methionine concentration	OFFICIAL
HP:0003236	en	en	Elevated circulating creatine kinase concentration	rdfs:label	Elevated circulating creatine kinase concentration	OFFICIAL
HP:0040081	en	en	Abnormal circulating creatine kinase concentration	rdfs:label	Abnormal circulating creatine kinase concentration	OFFICIAL
HP:0003237	en	en	Increased circulating IgG level	rdfs:label	Increased circulating IgG level	OFFICIAL
HP:0410242	en	en	Abnormal circulating IgG level	rdfs:label	Abnormal circulating IgG level	OFFICIAL
HP:0003238	en	en	Hyperpepsinogenemia I	rdfs:label	Hyperpepsinogenemia I	OFFICIAL
HP:0003239	en	en	Phosphoethanolaminuria	rdfs:label	Phosphoethanolaminuria	OFFICIAL
HP:0003240	en	en	Increased phosphoribosylpyrophosphate synthetase level	rdfs:label	Increased phosphoribosylpyrophosphate synthetase level	OFFICIAL
HP:0032459	en	en	Abnormal phosphoribosylpyrophosphate synthetase level	rdfs:label	Abnormal phosphoribosylpyrophosphate synthetase level	OFFICIAL
HP:0003244	en	en	Penile hypospadias	rdfs:label	Penile hypospadias	OFFICIAL
HP:0003246	en	en	Prominent scrotal raphe	rdfs:label	Prominent scrotal raphe	OFFICIAL
HP:0003247	en	en	Overgrowth of external genitalia	rdfs:label	Overgrowth of external genitalia	OFFICIAL
HP:0003248	en	en	Gonadal tissue inappropriate for external genitalia or chromosomal sex	rdfs:label	Gonadal tissue inappropriate for external genitalia or chromosomal sex	OFFICIAL
HP:0003249	en	en	Genital ulcers	rdfs:label	Genital ulcers	OFFICIAL
HP:0003250	en	en	Aplasia of the vagina	rdfs:label	Aplasia of the vagina	OFFICIAL
HP:0011026	en	en	Aplasia/Hypoplasia of the vagina	rdfs:label	Aplasia/Hypoplasia of the vagina	OFFICIAL
HP:0003251	en	en	Male infertility	rdfs:label	Male infertility	OFFICIAL
HP:0012041	en	en	Decreased fertility in males	rdfs:label	Decreased fertility in males	OFFICIAL
HP:0003252	en	en	Anteriorly displaced genitalia	rdfs:label	Anteriorly displaced genitalia	OFFICIAL
HP:0003256	en	en	Abnormality of the coagulation cascade	rdfs:label	Abnormality of the coagulation cascade	OFFICIAL
HP:0003258	en	en	Glyoxalase deficiency	rdfs:label	Glyoxalase deficiency	OFFICIAL
HP:0003259	en	en	Elevated circulating creatinine concentration	rdfs:label	Elevated circulating creatinine concentration	OFFICIAL
HP:0012100	en	en	Abnormal circulating creatinine concentration	rdfs:label	Abnormal circulating creatinine concentration	OFFICIAL
HP:0003260	en	en	Hydroxyprolinemia	rdfs:label	Hydroxyprolinemia	OFFICIAL
HP:0010907	en	en	Abnormal circulating proline concentration	rdfs:label	Abnormal circulating proline concentration	OFFICIAL
HP:0003261	en	en	Increased circulating IgA level	rdfs:label	Increased circulating IgA level	OFFICIAL
HP:0003262	en	en	Smooth muscle antibody positivity	rdfs:label	Smooth muscle antibody positivity	OFFICIAL
HP:0003264	en	en	Deficiency of N-acetylglucosamine-1-phosphotransferase	rdfs:label	Deficiency of N-acetylglucosamine-1-phosphotransferase	OFFICIAL
HP:0003265	en	en	Neonatal hyperbilirubinemia	rdfs:label	Neonatal hyperbilirubinemia	OFFICIAL
HP:0003267	en	en	Reduced orotidine 5-prime phosphate decarboxylase level	rdfs:label	Reduced orotidine 5-prime phosphate decarboxylase level	OFFICIAL
HP:0003268	en	en	Argininuria	rdfs:label	Argininuria	OFFICIAL
HP:0033093	en	en	Increased glutamine family amino acid level in urine	rdfs:label	Increased glutamine family amino acid level in urine	OFFICIAL
HP:0003269	en	en	Sudanophilic leukodystrophy	rdfs:label	Sudanophilic leukodystrophy	OFFICIAL
HP:0003273	en	en	Hip contracture	rdfs:label	Hip contracture	OFFICIAL
HP:0003274	en	en	Hypoplastic acetabulae	rdfs:label	Hypoplastic acetabulae	OFFICIAL
HP:0003275	en	en	Narrow pelvis bone	rdfs:label	Narrow pelvis bone	OFFICIAL
HP:0003276	en	en	Pelvic bone exostoses	rdfs:label	Pelvic bone exostoses	OFFICIAL
HP:0003277	en	en	Constricted iliac wing	rdfs:label	Constricted iliac wing	OFFICIAL
HP:0003278	en	en	Square pelvis bone	rdfs:label	Square pelvis bone	OFFICIAL
HP:0003279	en	en	Coxa magna	rdfs:label	Coxa magna	OFFICIAL
HP:0003281	en	en	Increased circulating ferritin concentration	rdfs:label	Increased circulating ferritin concentration	OFFICIAL
HP:0033331	en	en	Acute phase response	rdfs:label	Acute phase response	OFFICIAL
HP:0040133	en	en	Abnormal circulating ferritin concentration	rdfs:label	Abnormal circulating ferritin concentration	OFFICIAL
HP:0003282	en	en	Low alkaline phosphatase	rdfs:label	Low alkaline phosphatase	OFFICIAL
HP:0003286	en	en	Cystathioninemia	rdfs:label	Cystathioninemia	OFFICIAL
HP:0033108	en	en	Abnormal circulating proteinogenic amino acid derivative concentration	rdfs:label	Abnormal circulating proteinogenic amino acid derivative concentration	OFFICIAL
HP:0012103	en	en	Abnormality of the mitochondrion	rdfs:label	Abnormality of the mitochondrion	OFFICIAL
HP:0003288	en	en	Mitochondrial propionyl-CoA carboxylase defect	rdfs:label	Mitochondrial propionyl-CoA carboxylase defect	OFFICIAL
HP:0003292	en	en	Decreased serum leptin	rdfs:label	Decreased serum leptin	OFFICIAL
HP:0004361	en	en	Abnormal circulating leptin concentration	rdfs:label	Abnormal circulating leptin concentration	OFFICIAL
HP:0003295	en	en	obsolete Impaired FSH and LH secretion	rdfs:label	obsolete Impaired FSH and LH secretion	OFFICIAL
HP:0003296	en	en	Hyperthreoninuria	rdfs:label	Hyperthreoninuria	OFFICIAL
HP:0033096	en	en	Increased aspartate family amino acid level in urine	rdfs:label	Increased aspartate family amino acid level in urine	OFFICIAL
HP:0003297	en	en	Hyperlysinuria	rdfs:label	Hyperlysinuria	OFFICIAL
HP:0003298	en	en	Spina bifida occulta	rdfs:label	Spina bifida occulta	OFFICIAL
HP:0003300	en	en	Ovoid vertebral bodies	rdfs:label	Ovoid vertebral bodies	OFFICIAL
HP:0003301	en	en	Irregular vertebral endplates	rdfs:label	Irregular vertebral endplates	OFFICIAL
HP:0005106	en	en	Abnormality of the vertebral endplates	rdfs:label	Abnormality of the vertebral endplates	OFFICIAL
HP:0003302	en	en	Spondylolisthesis	rdfs:label	Spondylolisthesis	OFFICIAL
HP:0003304	en	en	Spondylolysis	rdfs:label	Spondylolysis	OFFICIAL
HP:0003305	en	en	Block vertebrae	rdfs:label	Block vertebrae	OFFICIAL
HP:0003306	en	en	Spinal rigidity	rdfs:label	Spinal rigidity	OFFICIAL
HP:0003308	en	en	Cervical subluxation	rdfs:label	Cervical subluxation	OFFICIAL
HP:0003309	en	en	Ovoid thoracolumbar vertebrae	rdfs:label	Ovoid thoracolumbar vertebrae	OFFICIAL
HP:0003310	en	en	Abnormal odontoid process morphology	rdfs:label	Abnormal odontoid process morphology	OFFICIAL
HP:0003311	en	en	Hypoplasia of the odontoid process	rdfs:label	Hypoplasia of the odontoid process	OFFICIAL
HP:0003316	en	en	Butterfly vertebrae	rdfs:label	Butterfly vertebrae	OFFICIAL
HP:0008428	en	en	Vertebral clefting	rdfs:label	Vertebral clefting	OFFICIAL
HP:0003318	en	en	Cervical spine hypermobility	rdfs:label	Cervical spine hypermobility	OFFICIAL
HP:0003320	en	en	C1-C2 subluxation	rdfs:label	C1-C2 subluxation	OFFICIAL
HP:0008440	en	en	C1-C2 vertebral abnormality	rdfs:label	C1-C2 vertebral abnormality	OFFICIAL
HP:0003321	en	en	Biconcave flattened vertebrae	rdfs:label	Biconcave flattened vertebrae	OFFICIAL
HP:0004586	en	en	Biconcave vertebral bodies	rdfs:label	Biconcave vertebral bodies	OFFICIAL
HP:0003323	en	en	Progressive muscle weakness	rdfs:label	Progressive muscle weakness	OFFICIAL
HP:0003324	en	en	Generalized muscle weakness	rdfs:label	Generalized muscle weakness	OFFICIAL
HP:0003325	en	en	Limb-girdle muscle weakness	rdfs:label	Limb-girdle muscle weakness	OFFICIAL
HP:0003326	en	en	Myalgia	rdfs:label	Myalgia	OFFICIAL
HP:0003327	en	en	Axial muscle weakness	rdfs:label	Axial muscle weakness	OFFICIAL
HP:0003329	en	en	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	rdfs:label	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	OFFICIAL
HP:0003332	en	en	Absent primary metaphyseal spongiosa	rdfs:label	Absent primary metaphyseal spongiosa	OFFICIAL
HP:0005089	en	en	Abnormal metaphyseal trabeculation	rdfs:label	Abnormal metaphyseal trabeculation	OFFICIAL
HP:0003333	en	en	Increased serum beta-hexosaminidase	rdfs:label	Increased serum beta-hexosaminidase	OFFICIAL
HP:0003334	en	en	Elevated circulating catecholamine level	rdfs:label	Elevated circulating catecholamine level	OFFICIAL
HP:0012099	en	en	Abnormality of circulating catecholamine level	rdfs:label	Abnormality of circulating catecholamine level	OFFICIAL
HP:0003335	en	en	obsolete Low gonadotropins (secondary hypogonadism)	rdfs:label	obsolete Low gonadotropins (secondary hypogonadism)	OFFICIAL
HP:0003336	en	en	Abnormal enchondral ossification	rdfs:label	Abnormal enchondral ossification	OFFICIAL
HP:0011849	en	en	Abnormal bone ossification	rdfs:label	Abnormal bone ossification	OFFICIAL
HP:0003337	en	en	Reduced prothrombin consumption	rdfs:label	Reduced prothrombin consumption	OFFICIAL
HP:0012200	en	en	Abnormality of prothrombin	rdfs:label	Abnormality of prothrombin	OFFICIAL
HP:0003338	en	en	Focal necrosis of right ventricular muscle cells	rdfs:label	Focal necrosis of right ventricular muscle cells	OFFICIAL
HP:0003339	en	en	Pyrimidine-responsive megaloblastic anemia	rdfs:label	Pyrimidine-responsive megaloblastic anemia	OFFICIAL
HP:0003340	en	en	obsolete Abnormal dermatological laboratory findings	rdfs:label	obsolete Abnormal dermatological laboratory findings	OFFICIAL
HP:0003341	en	en	Lamina lucida cleavage	rdfs:label	Lamina lucida cleavage	OFFICIAL
HP:0033804	en	en	Subepidermal blistering	rdfs:label	Subepidermal blistering	OFFICIAL
HP:0003343	en	en	Reduced glutathione synthetase level	rdfs:label	Reduced glutathione synthetase level	OFFICIAL
HP:0003344	en	en	3-Methylglutaric aciduria	rdfs:label	3-Methylglutaric aciduria	OFFICIAL
HP:0003345	en	en	Elevated urinary norepinephrine level	rdfs:label	Elevated urinary norepinephrine level	OFFICIAL
HP:0011976	en	en	Elevated urinary catecholamine level	rdfs:label	Elevated urinary catecholamine level	OFFICIAL
HP:0003347	en	en	Impaired lymphocyte transformation with phytohemagglutinin	rdfs:label	Impaired lymphocyte transformation with phytohemagglutinin	OFFICIAL
HP:0003348	en	en	Hyperalaninemia	rdfs:label	Hyperalaninemia	OFFICIAL
HP:0010916	en	en	Abnormal circulating alanine concentration	rdfs:label	Abnormal circulating alanine concentration	OFFICIAL
HP:0003349	en	en	Low cholesterol esterification rate	rdfs:label	Low cholesterol esterification rate	OFFICIAL
HP:0003351	en	en	Decreased circulating renin level	rdfs:label	Decreased circulating renin level	OFFICIAL
HP:0003352	en	en	Endopolyploidy on chromosome studies of bone marrow	rdfs:label	Endopolyploidy on chromosome studies of bone marrow	OFFICIAL
HP:0003353	en	en	Propionyl-CoA carboxylase deficiency	rdfs:label	Propionyl-CoA carboxylase deficiency	OFFICIAL
HP:0003354	en	en	Hyperthreoninemia	rdfs:label	Hyperthreoninemia	OFFICIAL
HP:0010900	en	en	Abnormal circulating threonine concentration	rdfs:label	Abnormal circulating threonine concentration	OFFICIAL
HP:0003357	en	en	Thymic hormone decreased	rdfs:label	Thymic hormone decreased	OFFICIAL
HP:0003358	en	en	Elevated intracellular cystine	rdfs:label	Elevated intracellular cystine	OFFICIAL
HP:0003359	en	en	Decreased urinary sulfate	rdfs:label	Decreased urinary sulfate	OFFICIAL
HP:0012612	en	en	Abnormal urinary sulfate concentration	rdfs:label	Abnormal urinary sulfate concentration	OFFICIAL
HP:0003361	en	en	Tryptophanuria	rdfs:label	Tryptophanuria	OFFICIAL
HP:0033090	en	en	Increased aromatic amino acid level in urine	rdfs:label	Increased aromatic amino acid level in urine	OFFICIAL
HP:0003362	en	en	Increased VLDL cholesterol concentration	rdfs:label	Increased VLDL cholesterol concentration	OFFICIAL
HP:0031889	en	en	Abnormal VLDL cholesterol concentration	rdfs:label	Abnormal VLDL cholesterol concentration	OFFICIAL
HP:0003363	en	en	Abdominal situs inversus	rdfs:label	Abdominal situs inversus	OFFICIAL
HP:0011620	en	en	Abnormality of abdominal situs	rdfs:label	Abnormality of abdominal situs	OFFICIAL
HP:0003365	en	en	Arthralgia of the hip	rdfs:label	Arthralgia of the hip	OFFICIAL
HP:0003368	en	en	Abnormal femoral head morphology	rdfs:label	Abnormal femoral head morphology	OFFICIAL
HP:0003370	en	en	Flat capital femoral epiphysis	rdfs:label	Flat capital femoral epiphysis	OFFICIAL
HP:0010574	en	en	Abnormality of the epiphysis of the femoral head	rdfs:label	Abnormality of the epiphysis of the femoral head	OFFICIAL
HP:0030289	en	en	Flattened femoral epiphysis	rdfs:label	Flattened femoral epiphysis	OFFICIAL
HP:0003371	en	en	Enlargement of the proximal femoral epiphysis	rdfs:label	Enlargement of the proximal femoral epiphysis	OFFICIAL
HP:0003375	en	en	Narrow greater sciatic notch	rdfs:label	Narrow greater sciatic notch	OFFICIAL
HP:0003376	en	en	Steppage gait	rdfs:label	Steppage gait	OFFICIAL
HP:0003378	en	en	Axonal degeneration/regeneration	rdfs:label	Axonal degeneration/regeneration	OFFICIAL
HP:0003380	en	en	Decreased number of peripheral myelinated nerve fibers	rdfs:label	Decreased number of peripheral myelinated nerve fibers	OFFICIAL
HP:0003382	en	en	Hypertrophic nerve changes	rdfs:label	Hypertrophic nerve changes	OFFICIAL
HP:0003383	en	en	Onion bulb formation	rdfs:label	Onion bulb formation	OFFICIAL
HP:0003384	en	en	Peripheral axonal atrophy	rdfs:label	Peripheral axonal atrophy	OFFICIAL
HP:0003387	en	en	Decreased number of large peripheral myelinated nerve fibers	rdfs:label	Decreased number of large peripheral myelinated nerve fibers	OFFICIAL
HP:0003388	en	en	Easy fatigability	rdfs:label	Easy fatigability	OFFICIAL
HP:0003390	en	en	Sensory axonal neuropathy	rdfs:label	Sensory axonal neuropathy	OFFICIAL
HP:0003477	en	en	Peripheral axonal neuropathy	rdfs:label	Peripheral axonal neuropathy	OFFICIAL
HP:0003391	en	en	Gowers sign	rdfs:label	Gowers sign	OFFICIAL
HP:0003701	en	en	Proximal muscle weakness	rdfs:label	Proximal muscle weakness	OFFICIAL
HP:0003392	en	en	First dorsal interossei muscle weakness	rdfs:label	First dorsal interossei muscle weakness	OFFICIAL
HP:0003393	en	en	Thenar muscle atrophy	rdfs:label	Thenar muscle atrophy	OFFICIAL
HP:0009130	en	en	Hand muscle atrophy	rdfs:label	Hand muscle atrophy	OFFICIAL
HP:0003394	en	en	Muscle spasm	rdfs:label	Muscle spasm	OFFICIAL
HP:0003396	en	en	Syringomyelia	rdfs:label	Syringomyelia	OFFICIAL
HP:0100561	en	en	Spinal cord lesion	rdfs:label	Spinal cord lesion	OFFICIAL
HP:0003397	en	en	Generalized hypotonia due to defect at the neuromuscular junction	rdfs:label	Generalized hypotonia due to defect at the neuromuscular junction	OFFICIAL
HP:0003398	en	en	Abnormal synaptic transmission at the neuromuscular junction	rdfs:label	Abnormal synaptic transmission at the neuromuscular junction	OFFICIAL
HP:0030191	en	en	Abnormal peripheral nervous system synaptic transmission	rdfs:label	Abnormal peripheral nervous system synaptic transmission	OFFICIAL
HP:0003400	en	en	Basal lamina onion bulb formation	rdfs:label	Basal lamina onion bulb formation	OFFICIAL
HP:0003401	en	en	Paresthesia	rdfs:label	Paresthesia	OFFICIAL
HP:0033747	en	en	Abnormal exteroceptive sensation	rdfs:label	Abnormal exteroceptive sensation	OFFICIAL
HP:0003402	en	en	Decreased miniature endplate potentials	rdfs:label	Decreased miniature endplate potentials	OFFICIAL
HP:0003403	en	en	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	rdfs:label	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	OFFICIAL
HP:0100285	en	en	EMG: impaired neuromuscular transmission	rdfs:label	EMG: impaired neuromuscular transmission	OFFICIAL
HP:0003405	en	en	Diffuse axonal swelling	rdfs:label	Diffuse axonal swelling	OFFICIAL
HP:0003406	en	en	Peripheral nerve compression	rdfs:label	Peripheral nerve compression	OFFICIAL
HP:0003409	en	en	Distal sensory impairment of all modalities	rdfs:label	Distal sensory impairment of all modalities	OFFICIAL
HP:0003411	en	en	Proximal femoral metaphyseal irregularity	rdfs:label	Proximal femoral metaphyseal irregularity	OFFICIAL
HP:0006431	en	en	Proximal femoral metaphyseal abnormality	rdfs:label	Proximal femoral metaphyseal abnormality	OFFICIAL
HP:0030291	en	en	Lower-limb metaphyseal irregularity	rdfs:label	Lower-limb metaphyseal irregularity	OFFICIAL
HP:0003413	en	en	Atlantoaxial abnormality	rdfs:label	Atlantoaxial abnormality	OFFICIAL
HP:0003414	en	en	Atlantoaxial dislocation	rdfs:label	Atlantoaxial dislocation	OFFICIAL
HP:0003416	en	en	Spinal canal stenosis	rdfs:label	Spinal canal stenosis	OFFICIAL
HP:0003417	en	en	Coronal cleft vertebrae	rdfs:label	Coronal cleft vertebrae	OFFICIAL
HP:0003418	en	en	Back pain	rdfs:label	Back pain	OFFICIAL
HP:0003419	en	en	Low back pain	rdfs:label	Low back pain	OFFICIAL
HP:0003421	en	en	obsolete Platyspondyly (childhood)	rdfs:label	obsolete Platyspondyly (childhood)	OFFICIAL
HP:0003423	en	en	Thoracolumbar kyphoscoliosis	rdfs:label	Thoracolumbar kyphoscoliosis	OFFICIAL
HP:0005619	en	en	Thoracolumbar kyphosis	rdfs:label	Thoracolumbar kyphosis	OFFICIAL
HP:0003426	en	en	First dorsal interossei muscle atrophy	rdfs:label	First dorsal interossei muscle atrophy	OFFICIAL
HP:0007181	en	en	Interosseus muscle atrophy	rdfs:label	Interosseus muscle atrophy	OFFICIAL
HP:0003427	en	en	Thenar muscle weakness	rdfs:label	Thenar muscle weakness	OFFICIAL
HP:0030237	en	en	Hand muscle weakness	rdfs:label	Hand muscle weakness	OFFICIAL
HP:0003429	en	en	CNS hypomyelination	rdfs:label	CNS hypomyelination	OFFICIAL
HP:0003431	en	en	Decreased motor nerve conduction velocity	rdfs:label	Decreased motor nerve conduction velocity	OFFICIAL
HP:0040131	en	en	Abnormal motor nerve conduction velocity	rdfs:label	Abnormal motor nerve conduction velocity	OFFICIAL
HP:0003434	en	en	Sensory ataxic neuropathy	rdfs:label	Sensory ataxic neuropathy	OFFICIAL
HP:0003435	en	en	Cold-induced hand cramps	rdfs:label	Cold-induced hand cramps	OFFICIAL
HP:0003449	en	en	Cold-induced muscle cramps	rdfs:label	Cold-induced muscle cramps	OFFICIAL
HP:0003436	en	en	Prolonged miniature endplate currents	rdfs:label	Prolonged miniature endplate currents	OFFICIAL
HP:0003438	en	en	Absent Achilles reflex	rdfs:label	Absent Achilles reflex	OFFICIAL
HP:0200101	en	en	Decreased/absent ankle reflexes	rdfs:label	Decreased/absent ankle reflexes	OFFICIAL
HP:0003440	en	en	Horizontal sacrum	rdfs:label	Horizontal sacrum	OFFICIAL
HP:0005107	en	en	Abnormal sacrum morphology	rdfs:label	Abnormal sacrum morphology	OFFICIAL
HP:0003443	en	en	Decreased size of nerve terminals	rdfs:label	Decreased size of nerve terminals	OFFICIAL
HP:0003444	en	en	EMG: chronic denervation signs	rdfs:label	EMG: chronic denervation signs	OFFICIAL
HP:0003445	en	en	EMG: neuropathic changes	rdfs:label	EMG: neuropathic changes	OFFICIAL
